LnOB,k1,k2,k3,k4,k5,k6
Ln,0.000253904,185.439276,2046.607242,175.9478698,0.355361645,0.007039282
OB,1.59E-06,229.3184331,100.7473243,0.065944468,113.3507921,0.033311452
